Treatment,Tray,Family,FamilyMember,FamilyPhenology,ID,DOYFirstBolt,StemDiameter1,StemDiameter2,StemDiameter1Notes,DOYPlantWilt,FloweringDOY,HeightFirstFlower,FlowerDiameter1,FlowerDiameter2,FlowerDiameter3,AverageFlowerDiameter,Leaf_Images_Number,Stomata_Circled,Stomata_Counted,Stomata_Number_Image1,Stomata_Number_Image2,Stomata_Number_Image3,Stomata_Number_Average,Stomata_Density,Stomata_Length_Image1_1,Stomata_Length_Image1_2,Stomata_Length_Image1_3,Stomata_Length_Image2_1,Stomata_Length_Image2_2,Stomata_Length_Image2_3,Stomata_Length_Image3_1,Stomata_Length_Image3_2,Stomata_Length_Image3_3,Stomata_Length_Average,Fruit_Production,Fruit_Mass
Control,B,2,4,EarlyIntermediate,154,179,0.72,2.61,NA,NA,188,100.59,11.69,12.02,13.65,12.45333333,3,yes,yes,8,7,9,8,91.09067116,1.781,1.693,1.514,1.457,1.334,1.687,1.57,1.641,1.446,15.69222222,0,NA
Control,B,2,5,EarlyIntermediate,158,179,0.92,4.2,NA,NA,189,114.29,11.3,11.79,13.88,12.32333333,3,yes,yes,13,17,14,14.66666667,166.9995638,1.241,1.33,1.524,1.295,1.538,1.407,1.382,1.595,1.516,14.25333333,1,0.7858
Control,B,2,6,EarlyIntermediate,163,179,0.78,3.88,NA,NA,189,93.09,15.56,12.07,11.72,13.11666667,3,yes,yes,8,9,8,8.333333333,94.88611579,2.189,1.881,1.974,1.958,1.947,1.92,1.925,1.832,1.997,19.58111111,1,0.1132
Control,C,1,3,LateIntermediate,46,180,1.91,3.52,NA,NA,190,148.84,11.94,13.95,12.3,12.73,3,yes,yes,5,4,4,4.333333333,49.34078021,1.87,1.839,2.104,1.928,1.948,1.933,2.187,2.341,1.813,19.95888889,0,NA
Control,C,1,4,LateIntermediate,75,180,1.58,4.18,NA,NA,188,117.11,10.88,13.8,10,11.56,3,yes,yes,11,12,10,11,125.2496728,1.997,1.74,2.129,2.121,1.947,2,1.523,1.74,1.775,18.85777778,1,0.096
Control,C,1,5,LateIntermediate,89,180,1.44,4.4,NA,NA,189,177.1,10.41,12.95,11.02,11.46,3,yes,yes,9,7,5,7,79.70433726,1.682,1.545,2.143,1.729,1.766,1.485,1.707,2.005,2.018,17.86666667,1,0.0561
Control,C,1,6,LateIntermediate,149,180,0.63,1.01,NA,NA,198,70.94,9.22,8.4,9.27,8.963333333,3,yes,yes,9,11,14,11.33333333,129.0451175,1.732,1.652,1.427,1.484,1.568,1.79,1.744,1.618,1.48,16.10555556,0,NA
Control,C,1,1,LateIntermediate,166,179,0.95,2.93,NA,NA,188,163.04,13.74,14.54,13.63,13.97,3,yes,yes,6,5,7,6,68.31800337,1.574,1.624,1.596,1.844,1.577,1.607,1.508,1.624,1.28,15.81555556,1,1.1649
Control,C,1,2,LateIntermediate,178,179,0.7,3.17,NA,NA,189,141.76,11.1,13.21,13.28,12.53,3,yes,yes,7,6,9,7.333333333,83.49978189,1.513,1.715,1.31,1.756,2.008,1.952,1.669,1.822,2.107,17.61333333,1,0.3597
Control,C,2,2,Late,49,182,1.28,3.85,NA,NA,192,191.18,12.45,11.7,9.56,11.23666667,3,yes,yes,8,7,7,7.333333333,83.49978189,1.86,1.73,1.508,1.801,1.72,1.582,1.649,1.672,1.693,16.90555556,1,0.161
Control,C,2,5,Late,59,183,1.45,4.44,NA,NA,193,91.91,7.82,9.52,9.49,8.943333333,3,yes,yes,15,24,18,19,216.340344,1.439,1.45,1.37,1.188,1.345,0.912,1.665,1.686,1.398,13.83666667,0,NA
Control,C,2,3,Late,84,182,1.08,4.3,NA,NA,192,208.72,14.71,11.18,14.31,13.4,3,yes,yes,17,16,14,15.66666667,178.3858977,1.496,1.56,1.205,1.587,1.618,1.285,1.87,1.639,1.224,14.98222222,1,0.137
Control,C,2,6,Late,140,186,0.98,2.45,measured directly below the cotelydon,NA,NA,NA,NA,NA,NA,NA,3,yes,yes,47,47,43,45.66666667,519.9759145,1.206,1.164,1.29,1.257,1.034,1.192,1.269,1.075,0.873,11.51111111,0,NA
Control,C,2,1,Late,169,180,0.71,4.04,NA,NA,189,122.02,11.1,11.76,11.03,11.29666667,3,yes,yes,9,12,11,10.66666667,121.4542282,1.459,1.738,1.546,1.375,1.118,1.368,1.659,1.491,1.579,14.81444444,0,NA
Control,C,2,4,Late,179,182,0.75,3.13,NA,NA,197,108.79,9.37,9.25,12.04,10.22,3,yes,yes,10,8,6,8,91.09067116,1.9,1.374,1.154,2.066,1.608,1.448,1.649,1.676,1.769,16.27111111,0,NA
Control,D,1,2,LateIntermediate,41,180,1.25,4.73,NA,NA,188,121.11,13.07,10.66,12,11.91,3,yes,yes,10,8,8,8.666666667,98.68156042,1.733,1.621,1.91,1.321,1.819,1.809,2.128,1.879,1.824,17.82666667,0,NA
Control,D,1,3,LateIntermediate,47,180,1.34,2.59,NA,NA,191,58.94,9.44,8.85,9.79,9.36,3,yes,yes,19,18,18,18.33333333,208.7494547,1.428,1.24,1.333,1.493,1.501,1.262,1.384,1.413,1.473,13.91888889,0,NA
